time	V(n001)	I(R2)
0.000000000000000e+00	3.852566e+00	5.416011e-03
3.053125000000300e-07	3.461046e+00	5.672068e-03
6.253125000000811e-07	3.001630e+00	5.865728e-03
9.453125000001322e-07	2.498583e+00	5.973931e-03
1.265312500000183e-06	1.959217e+00	5.995115e-03
1.585312500000235e-06	1.391373e+00	5.928982e-03
1.905312500000286e-06	8.033037e-01	5.776502e-03
2.225312500000337e-06	2.035582e-01	5.539902e-03
2.545312500000388e-06	-3.991462e-01	5.222627e-03
2.865312500000439e-06	-9.960486e-01	4.829300e-03
3.185312500000490e-06	-1.578473e+00	4.365643e-03
3.505312500000541e-06	-2.137953e+00	3.838405e-03
3.825312500000593e-06	-2.666356e+00	3.255256e-03
4.145312500000644e-06	-3.156003e+00	2.624677e-03
4.465312500000695e-06	-3.599774e+00	1.955843e-03
4.785312500000746e-06	-3.991220e+00	1.258479e-03
5.105312500000797e-06	-4.324652e+00	5.427283e-04
5.425312500000848e-06	-4.595221e+00	-1.810000e-04
5.745312500000899e-06	-4.798996e+00	-9.021814e-04
6.065312500000951e-06	-4.933014e+00	-1.610329e-03
6.385312500001002e-06	-4.995327e+00	-2.295143e-03
6.705312500001053e-06	-4.985030e+00	-2.946668e-03
7.025312500001104e-06	-4.902272e+00	-3.555428e-03
7.345312500001155e-06	-4.748257e+00	-4.112571e-03
7.665312500001206e-06	-4.525221e+00	-4.609995e-03
7.985312500001257e-06	-4.236409e+00	-5.040466e-03
8.305312500001309e-06	-3.886018e+00	-5.397724e-03
8.625312500001360e-06	-3.479141e+00	-5.676574e-03
8.945312500001411e-06	-3.021692e+00	-5.872958e-03
9.265312500001462e-06	-2.520321e+00	-5.984020e-03
9.585312500001513e-06	-1.982315e+00	-6.008144e-03
9.905312500001564e-06	-1.415495e+00	-5.944976e-03
1.022531250000162e-05	-8.280997e-01	-5.795432e-03
1.054531250000167e-05	-2.286674e-01	-5.561683e-03
1.086531250000172e-05	3.740887e-01	-5.247126e-03
1.118531250000177e-05	9.714072e-01	-4.856331e-03
1.150531250000182e-05	1.554606e+00	-4.394976e-03
1.182531250000187e-05	2.115207e+00	-3.869767e-03
1.214531250000192e-05	2.645062e+00	-3.288335e-03
1.246531250000197e-05	3.136469e+00	-2.659131e-03
1.278531250000202e-05	3.582286e+00	-1.991299e-03
1.310531250000208e-05	3.976032e+00	-1.294545e-03
1.342531250000213e-05	4.311983e+00	-5.789963e-04
1.374531250000218e-05	4.585257e+00	1.449479e-04
1.406531250000223e-05	4.791881e+00	8.667655e-04
1.438531250000228e-05	4.928852e+00	1.575966e-03
1.470531250000233e-05	4.994178e+00	2.262241e-03
1.502531250000238e-05	4.986910e+00	2.915616e-03
1.534531250000243e-05	4.907155e+00	3.526594e-03
1.566531250000248e-05	4.756071e+00	4.086297e-03
1.598531250000254e-05	4.535854e+00	4.586589e-03
1.630531250000259e-05	4.249705e+00	5.020198e-03
1.662531250000264e-05	3.901784e+00	5.380823e-03
1.694531250000269e-05	3.497148e+00	5.663222e-03
1.726531250000274e-05	3.041678e+00	5.863290e-03
1.758531250000279e-05	2.541995e+00	5.978122e-03
1.790531250000284e-05	2.005363e+00	6.006047e-03
1.822531250000289e-05	1.439582e+00	5.946661e-03
1.854531250000295e-05	8.528748e-01	5.800827e-03
1.886531250000300e-05	2.537709e-01	5.570666e-03
1.918531250000305e-05	-3.490218e-01	5.259523e-03
1.950531250000310e-05	-9.467412e-01	4.871922e-03
1.982531250000315e-05	-1.530699e+00	4.413497e-03
2.014531250000320e-05	-2.092407e+00	3.890912e-03
2.046531250000325e-05	-2.623701e+00	3.311764e-03
2.078531250000330e-05	-3.116857e+00	2.684471e-03
2.110531250000335e-05	-3.564708e+00	2.018151e-03
2.142531250000341e-05	-3.960743e+00	1.322491e-03
2.174531250000346e-05	-4.299206e+00	6.076026e-04
2.206531250000351e-05	-4.575177e+00	-1.161226e-04
2.238531250000356e-05	-4.784645e+00	-8.381644e-04
2.270531250000361e-05	-4.924564e+00	-1.548027e-03
2.302531250000366e-05	-4.992902e+00	-2.235393e-03
2.334531250000371e-05	-4.988665e+00	-2.890269e-03
2.366531250000376e-05	-4.911914e+00	-3.503137e-03
2.398531250000381e-05	-4.763765e+00	-4.065088e-03
2.430531250000387e-05	-4.546371e+00	-4.567953e-03
2.462531250000392e-05	-4.262893e+00	-5.004423e-03
2.494531250000397e-05	-3.917451e+00	-5.368154e-03
2.526531250000402e-05	-3.515066e+00	-5.653857e-03
2.558531250000407e-05	-3.061587e+00	-5.857380e-03
2.590531250000412e-05	-2.563605e+00	-5.975764e-03
2.622531250000417e-05	-2.028360e+00	-6.007290e-03
2.654531250000422e-05	-1.463632e+00	-5.951497e-03
2.686531250000428e-05	-8.776283e-01	-5.809197e-03
2.718531250000433e-05	-2.788679e-01	-5.582459e-03
2.750531250000438e-05	3.239460e-01	-5.274578e-03
2.782531250000443e-05	9.220512e-01	-4.890028e-03
2.814531250000448e-05	1.506754e+00	-4.434401e-03
2.846531250000453e-05	2.069555e+00	-3.914319e-03
2.878531250000458e-05	2.602273e+00	-3.337339e-03
2.910531250000463e-05	3.097166e+00	-2.711852e-03
2.942531250000468e-05	3.547039e+00	-2.046947e-03
2.974531250000474e-05	3.945354e+00	-1.352289e-03
3.006531250000479e-05	4.286320e+00	-6.379766e-04
3.038531250000484e-05	4.564981e+00	8.560857e-05
3.070531250000489e-05	4.777287e+00	8.079482e-04
3.102531250000494e-05	4.920153e+00	1.518543e-03
3.134531250000499e-05	4.991500e+00	2.207063e-03
3.166531250000504e-05	4.990294e+00	2.863502e-03
3.198531250000509e-05	4.916549e+00	3.478317e-03
3.230531250000514e-05	4.771338e+00	4.042571e-03
3.262531250000520e-05	4.556774e+00	4.548063e-03
3.294531250000525e-05	4.275973e+00	4.987445e-03
3.326531250000530e-05	3.933019e+00	5.354330e-03
3.358531250000535e-05	3.532895e+00	5.643386e-03
3.390531250000540e-05	3.081418e+00	5.850411e-03
3.422531250000545e-05	2.585151e+00	5.972395e-03
3.454531250000550e-05	2.051306e+00	6.007566e-03
3.486531250000555e-05	1.487645e+00	5.955413e-03
3.518531250000560e-05	9.023597e-01	5.816693e-03
3.550531250000566e-05	3.039579e-01	5.593423e-03
3.582531250000571e-05	-2.988621e-01	5.288849e-03
3.614531250000576e-05	-8.973380e-01	4.907397e-03
3.646531250000581e-05	-1.482770e+00	4.454612e-03
3.678531250000586e-05	-2.046650e+00	3.937075e-03
3.710531250000591e-05	-2.580780e+00	3.362311e-03
3.742531250000596e-05	-3.077396e+00	2.738673e-03
3.774531250000601e-05	-3.529281e+00	2.075226e-03
3.806531250000607e-05	-3.929865e+00	1.381614e-03
3.838531250000612e-05	-4.273325e+00	6.679186e-04
3.870531250000617e-05	-4.554670e+00	-5.548543e-05
3.902531250000622e-05	-4.769810e+00	-7.780832e-04
3.934531250000627e-05	-4.915617e+00	-1.489371e-03
3.966531250000632e-05	-4.989973e+00	-2.179010e-03
3.998531250000637e-05	-4.991796e+00	-2.839334e-03
4.000000000000005e-05	-4.990134e+00	-2.868875e-03
