time	V(n001)	I(L)
0.000000000000000e+000	2.217503e+000	-4.718091e-003
7.324218749999970e-008	2.253022e+000	-4.548712e-003
1.464843749999994e-007	2.287370e+000	-4.377292e-003
2.197265624999991e-007	2.320547e+000	-4.203831e-003
2.929687499999988e-007	2.352552e+000	-4.028330e-003
3.662109374999985e-007	2.383386e+000	-3.850787e-003
4.394531249999982e-007	2.413049e+000	-3.671204e-003
5.126953124999977e-007	2.441541e+000	-3.489580e-003
9.521484374999900e-007	2.584492e+000	-2.365627e-003
1.391601562499982e-006	2.678258e+000	-1.196651e-003
1.684570312499977e-006	2.712523e+000	-4.032841e-004
1.977539062499972e-006	2.723825e+000	3.934980e-004
2.416992187499964e-006	2.697568e+000	1.580326e-003
2.856445312499957e-006	2.619976e+000	2.737084e-003
3.295898437499949e-006	2.492525e+000	3.841757e-003
3.735351562499941e-006	2.317640e+000	4.873324e-003
4.174804687499933e-006	2.098651e+000	5.812154e-003
4.614257812499926e-006	1.839724e+000	6.640381e-003
5.053710937499918e-006	1.545788e+000	7.342243e-003
5.493164062499910e-006	1.222435e+000	7.904384e-003
5.932617187499902e-006	8.758185e-001	8.316107e-003
6.372070312499895e-006	5.125355e-001	8.569576e-003
6.665039062499889e-006	2.644922e-001	8.648127e-003
6.958007812499884e-006	1.420999e-002	8.653471e-003
7.250976562499879e-006	-2.361926e-001	8.585561e-003
7.690429687499871e-006	-6.073895e-001	8.347775e-003
8.129882812499864e-006	-9.670278e-001	7.951130e-003
8.569335937499856e-006	-1.308264e+000	7.403179e-003
9.008789062499848e-006	-1.624604e+000	6.714345e-003
9.448242187499840e-006	-1.910028e+000	5.897739e-003
9.887695312499833e-006	-2.159105e+000	4.968900e-003
1.018066406249983e-005	-2.302591e+000	4.295973e-003
1.062011718749982e-005	-2.480939e+000	3.220262e-003
1.105957031249981e-005	-2.612074e+000	2.083269e-003
1.149902343749980e-005	-2.693502e+000	9.066332e-004
1.179199218749980e-005	-2.719368e+000	1.112235e-004
1.208496093749979e-005	-2.722213e+000	-6.851277e-004
1.252441406249979e-005	-2.683319e+000	-1.866685e-003
1.296386718749978e-005	-2.593362e+000	-3.012720e-003
1.340332031249977e-005	-2.454054e+000	-4.101423e-003
1.384277343749976e-005	-2.268046e+000	-5.112077e-003
1.428222656249976e-005	-2.038877e+000	-6.025449e-003
1.472167968749975e-005	-1.770908e+000	-6.824158e-003
1.516113281249974e-005	-1.469240e+000	-7.493003e-003
1.560058593749973e-005	-1.139612e+000	-8.019259e-003
1.604003906249972e-005	-7.882978e-001	-8.392910e-003
1.647949218749972e-005	-4.219822e-001	-8.606844e-003
1.677246093749971e-005	-1.728725e-001	-8.658598e-003
1.706542968749971e-005	7.770067e-002	-8.637055e-003
1.735839843749970e-005	3.276161e-001	-8.542398e-003
1.779785156249969e-005	6.966339e-001	-8.265245e-003
1.823730468749969e-005	1.052395e+000	-7.830804e-003
1.867675781249968e-005	1.388129e+000	-7.247346e-003
1.911621093749967e-005	1.697448e+000	-6.525971e-003
1.955566406249966e-005	1.974464e+000	-5.680408e-003
1.984863281249966e-005	2.138564e+000	-5.055564e-003
2.014160156249965e-005	2.284561e+000	-4.387924e-003
2.058105468749964e-005	2.466953e+000	-3.318671e-003
2.102050781249964e-005	2.602400e+000	-2.186265e-003
2.145996093749963e-005	2.688323e+000	-1.012254e-003
2.175292968749962e-005	2.717246e+000	-2.174794e-004
2.204589843749962e-005	2.723166e+000	5.791361e-004
2.248535156249965e-005	2.688862e+000	1.762770e-003
2.292480468749968e-005	2.603389e+000	2.912858e-003
2.336425781249972e-005	2.468373e+000	4.007515e-003
2.380371093749975e-005	2.286385e+000	5.025910e-003
2.424316406249978e-005	2.060888e+000	5.948663e-003
2.468261718749982e-005	1.796172e+000	6.758213e-003
2.512207031249985e-005	1.497276e+000	7.439156e-003
